mmsi,lat,lon,speed,course,timestamp,speed_diff,course_diff,anomaly
235061062,50.352377,-4.161867,11.3,303.0,,-5.800000000000001,-25.899999999999977,-1
235061062,50.352377,-4.161867,11.3,303.0,,0.0,0.0,1
235061062,50.352377,-4.161867,11.3,303.0,,0.0,0.0,1
232002651,50.333773,-4.18023,2.6,1.8,,-0.10000000000000009,-9.2,1
235097338,50.364915,-4.13085,0.1,134.8,,0.0,0.0,1
235097338,50.364915,-4.13085,0.1,134.8,,0.0,0.0,1
235029693,50.369577,-4.132117,0.0,103.4,,0.0,0.0,1
235061062,50.352478,-4.162128,11.0,301.0,,-0.3000000000000007,-2.0,1
235116983,50.363947,-4.156312,0.0,281.9,,-0.1,-56.30000000000001,1
235061062,50.3526,-4.162435,11.0,300.0,,0.0,-1.0,1
235060787,50.358847,-4.120373,0.1,360.0,,0.0,0.0,1
235063624,50.364727,-4.16664,0.0,360.0,,0.0,0.0,1
235063624,50.364727,-4.16664,0.0,360.0,,0.0,0.0,1
235063624,50.364727,-4.16664,0.0,360.0,,0.0,0.0,1
235060787,50.358847,-4.120373,0.1,360.0,,0.0,0.0,1
235063624,50.364727,-4.16664,0.0,360.0,,0.0,0.0,1
235061062,50.352648,-4.162548,11.0,301.0,,0.0,1.0,1
235061062,50.352648,-4.162548,11.0,301.0,,0.0,0.0,1
235111155,50.366887,-4.155997,0.1,197.0,,0.0,0.0,1
235061062,50.352703,-4.162682,11.0,302.0,,0.0,1.0,1
232002651,50.33388,-4.180252,2.4,355.4,,-0.20000000000000018,353.59999999999997,-1
235111155,50.366887,-4.155997,0.1,197.0,,0.0,0.0,1
232002651,50.33388,-4.180252,2.4,355.4,,0.0,0.0,1
235111155,50.366887,-4.155997,0.1,197.0,,0.0,0.0,1
232002651,50.33388,-4.180252,2.4,355.4,,0.0,0.0,1
232002652,50.359863,-4.154282,8.3,259.4,,-0.7999999999999989,-26.100000000000023,1
232056337,50.359467,-4.117692,0.0,360.0,,0.0,0.0,1
