mmsi,lat,lon,speed,course,timestamp,speed_diff,course_diff,anomaly
244710926,51.95214333333333,5.362696666666666,0,0,2025-04-07T11:02:35.791Z,0,0,1
305172000,51.33054666666667,1.8521266666666667,0,0,2025-04-07T11:02:35.810Z,0,0,1
353033000,39.26173333333334,-76.59211666666667,0,0,2025-04-07T11:02:35.824Z,0,0,1
257027040,69.742045,19.097716666666667,0,0,2025-04-07T11:02:35.825Z,0,0,1
244660875,51.91900333333333,4.504605,0,0,2025-04-07T11:02:35.831Z,0,0,1
247102500,50.47261666666667,-0.0842166666666666,0,0,2025-04-07T11:02:35.833Z,0,0,1
244032212,52.387816666666666,4.890708333333333,0,0,2025-04-07T11:02:35.834Z,0,0,1
255915652,51.890565,4.453568333333333,0,0,2025-04-07T11:02:35.836Z,0,0,1
244660328,51.045905,6.93473,0,0,2025-04-07T11:02:35.842Z,0,0,1
244201000,54.54475,18.502321666666667,0,0,2025-04-07T11:02:35.858Z,0,0,1
211649550,51.929208333333335,4.167495,0,0,2025-04-07T11:02:35.864Z,0,0,1
255803590,51.358383333333336,3.8954933333333335,0,0,2025-04-07T11:02:35.864Z,0,0,1
244710320,51.807071666666666,5.815910000000001,0,0,2025-04-07T11:02:35.872Z,0,0,1
352003677,55.6666,15.464533333333332,0,0,2025-04-07T11:02:35.874Z,0,0,1
244740135,51.90882333333333,4.5626516666666666,0,0,2025-04-07T11:02:35.888Z,0,0,1
244050175,52.68139,5.48242,0,0,2025-04-07T11:02:35.890Z,0,0,1
245428000,51.46077666666667,3.6740316666666666,0,0,2025-04-07T11:02:35.891Z,0,0,1
241096000,-33.90755166666666,18.428385,0,0,2025-04-07T11:02:35.892Z,0,0,1
277424000,55.68592,21.130936666666667,0,0,2025-04-07T11:02:35.894Z,0,0,1
564879000,37.197075000000005,-76.13829000000001,0,0,2025-04-07T11:02:35.910Z,0,0,1
244670583,49.431915,0.859695,0,0,2025-04-07T11:02:35.920Z,0,0,1
219019067,57.70882833333334,10.609851666666666,0,0,2025-04-07T11:02:35.931Z,0,0,1
263408950,41.196686666666665,-8.846225,0,0,2025-04-07T11:02:35.932Z,0,0,1
244660135,51.86559833333333,6.064593333333334,0,0,2025-04-07T11:02:35.945Z,0,0,1
227689560,49.495,0.18731,0,0,2025-04-07T11:02:35.958Z,0,0,1
310862000,52.42432333333333,4.846555,0,0,2025-04-07T11:02:35.962Z,0,0,1
235001318,50.127118333333335,-3.63397,0,0,2025-04-07T11:02:35.963Z,0,0,1
636020868,54.06266666666667,7.65395,0,0,2025-04-07T11:02:35.968Z,0,0,1
366914210,38.968448333333335,-74.95926166666666,0,0,2025-04-07T11:02:35.974Z,0,0,1
244025008,53.05271333333334,5.402721666666666,0,0,2025-04-07T11:02:35.976Z,0,0,1
244180037,51.902075,4.541368333333334,0,0,2025-04-07T11:02:35.977Z,0,0,1
244780245,51.43038166666667,6.736928333333334,0,0,2025-04-07T11:02:35.981Z,0,0,1
235109009,51.50881,-0.0950833333333333,0,0,2025-04-07T11:02:35.983Z,0,0,1
368168970,39.07933,-84.63437666666667,0,0,2025-04-07T11:02:35.990Z,0,0,1
205515690,51.27575333333333,4.331273333333333,0,0,2025-04-07T11:02:35.991Z,0,0,1
538008553,54.525055,18.61509,0,0,2025-04-07T11:02:36.002Z,0,0,1
211749880,54.146811666666665,12.114148333333333,0,0,2025-04-07T11:02:36.005Z,0,0,1
276001840,59.49932666666667,24.814086666666665,0,0,2025-04-07T11:02:36.007Z,0,0,1
270455000,50.094045,14.43247,0,0,2025-04-07T11:02:36.015Z,0,0,1
244650944,51.86455166666666,4.644898333333333,0,0,2025-04-07T11:02:36.022Z,0,0,1
636015002,51.25966666666667,4.402333333333333,0,0,2025-04-07T11:02:36.028Z,0,0,1
244769000,51.447915,3.590183333333333,0,0,2025-04-07T11:02:36.030Z,0,0,1
244780734,52.33183666666666,5.070531666666667,0,0,2025-04-07T11:02:36.047Z,0,0,1
211383970,51.21316166666666,6.69711,0,0,2025-04-07T11:02:36.053Z,0,0,1
220141000,57.7184,10.595615,0,0,2025-04-07T11:02:36.072Z,0,0,1
235083598,50.80072833333334,-1.1123033333333334,0,0,2025-04-07T11:02:36.093Z,0,0,1
263402680,41.18148333333333,-8.699628333333333,0,0,2025-04-07T11:02:36.093Z,0,0,1
244378547,51.69701833333333,4.543833333333334,0,0,2025-04-07T11:02:36.098Z,0,0,1
211747930,53.893773333333336,9.143895,0,0,2025-04-07T11:02:36.119Z,0,0,1
211519480,52.49278,13.46704,0,0,2025-04-07T11:02:36.121Z,0,0,1
244740557,52.46407333333333,4.591955,0,0,2025-04-07T11:02:36.130Z,0,0,1
636024049,48.40108833333333,-5.91707,0,0,2025-04-07T11:02:36.141Z,0,0,1
367645980,39.09655,-84.65927,0,0,2025-04-07T11:02:36.142Z,0,0,1
205770710,51.23245166666666,4.415345,0,0,2025-04-07T11:02:36.149Z,0,0,1
304011029,58.12305,8.406228333333333,0,0,2025-04-07T11:02:36.162Z,0,0,1
257005300,68.80301166666666,16.547721666666668,0,0,2025-04-07T11:02:36.167Z,0,0,1
235071342,61.03385,1.12741,0,0,2025-04-07T11:02:36.167Z,0,0,1
314608000,60.64058333333333,3.82175,0,0,2025-04-07T11:02:36.171Z,0,0,1
257697800,66.50087333333333,12.102453333333331,0,0,2025-04-07T11:02:36.172Z,0,0,1
257090550,62.376315,6.338023333333334,0,0,2025-04-07T11:02:36.173Z,0,0,1
258771000,66.98374166666666,13.586641666666669,0,0,2025-04-07T11:02:36.174Z,0,0,1
257189640,63.05155333333333,7.359221666666666,0,0,2025-04-07T11:02:36.175Z,0,0,1
259239000,58.39636666666667,1.9099833333333331,0,0,2025-04-07T11:02:36.177Z,0,0,1
257374400,58.89464,6.05772,0,0,2025-04-07T11:02:36.178Z,0,0,1
257089650,59.00460666666667,9.747998333333332,0,0,2025-04-07T11:02:36.182Z,0,0,1
257002590,70.63195999999999,23.653548333333333,0,0,2025-04-07T11:02:36.184Z,0,0,1
257077550,63.31940166666666,9.143725,0,0,2025-04-07T11:02:36.185Z,0,0,1
257287800,61.93345166666666,5.11418,0,0,2025-04-07T11:02:36.186Z,0,0,1
220507000,57.30991166666667,7.706128333333334,0,0,2025-04-07T11:02:36.188Z,0,0,1
257067570,68.49461333333333,16.49498,0,0,2025-04-07T11:02:36.190Z,0,0,1
