mmsi,lat,lon,speed,course,timestamp
211472890,53.703118333333336,7.706055,0,0,2025-04-10T09:45:51.451Z
215760000,46.07808333333333,-1.23088,0,0,2025-04-10T09:45:51.457Z
219005901,56.396613333333335,8.084008333333333,0,0,2025-04-10T09:45:51.459Z
244375515,51.250645,4.347981666666667,0,0,2025-04-10T09:45:51.467Z
211559130,53.53385,9.961681666666667,0,0,2025-04-10T09:45:51.471Z
209168000,53.83935333333333,6.360903333333334,0,0,2025-04-10T09:45:51.472Z
205569290,51.0233,6.973126666666667,0,0,2025-04-10T09:45:51.472Z
224901000,37.1263,-6.83735,0,0,2025-04-10T09:45:51.474Z
224241390,36.52155333333334,-4.590016666666667,0,0,2025-04-10T09:45:51.477Z
241087000,37.105765,25.370335,0,0,2025-04-10T09:45:51.483Z
256274000,51.35290166666667,3.1920300000000004,0,0,2025-04-10T09:45:51.484Z
263231000,36.85816,-7.69801,0,0,2025-04-10T09:45:51.492Z
244372129,52.37761833333333,4.912508333333333,0,0,2025-04-10T09:45:51.524Z
265547250,57.70538,11.93935,0,0,2025-04-10T09:45:51.527Z
265514870,58.801228333333334,17.835655,0,0,2025-04-10T09:45:51.531Z
244620012,52.39671166666667,4.860073333333333,0,0,2025-04-10T09:45:51.531Z
218031040,52.49192,13.48629,0,0,2025-04-10T09:45:51.535Z
244150561,51.905120000000004,4.47981,0,0,2025-04-10T09:45:51.537Z
227322390,49.84588833333333,-0.15442666666666666,0,0,2025-04-10T09:45:51.537Z
211141000,59.73509333333333,10.24293,0,0,2025-04-10T09:45:51.539Z
265630390,59.46510166666667,18.752496666666666,0,0,2025-04-10T09:45:51.540Z
263411770,37.688335,-9.20431,0,0,2025-04-10T09:45:51.542Z
224271630,39.97365666666667,0.019408333333333336,0,0,2025-04-10T09:45:51.549Z
244750887,52.40351,4.782161666666667,0,0,2025-04-10T09:45:51.553Z
247279300,44.410246666666666,8.914683333333333,0,0,2025-04-10T09:45:51.557Z
244180881,52.38385,4.926973333333334,0,0,2025-04-10T09:45:51.562Z
224566950,41.85358333333333,3.26761,0,0,2025-04-10T09:45:51.570Z
367731160,40.418789999999994,-74.03457333333334,0,0,2025-04-10T09:45:51.571Z
244750192,52.50668333333333,5.4235516666666665,0,0,2025-04-10T09:45:51.574Z
538007855,-34.898963333333334,18.988386666666667,0,0,2025-04-10T09:45:51.576Z
244622000,51.83524,4.491429999999999,0,0,2025-04-10T09:45:51.586Z
245228000,53.48281166666666,5.78404,0,0,2025-04-10T09:45:51.586Z
244710737,51.839124999999996,4.976918333333333,0,0,2025-04-10T09:45:51.587Z
257993600,67.28166,14.372065,0,0,2025-04-10T09:45:51.589Z
235055003,51.497944999999994,-0.12129166666666666,0,0,2025-04-10T09:45:51.594Z
245875000,54.61615,11.363814999999999,0,0,2025-04-10T09:45:51.594Z
253819000,40.462223333333334,0.4751083333333333,0,0,2025-04-10T09:45:51.596Z
211169910,50.543175,7.284895000000001,0,0,2025-04-10T09:45:51.604Z
244615094,51.89037333333333,4.41199,0,0,2025-04-10T09:45:51.605Z
244170804,52.46964,4.604728333333333,0,0,2025-04-10T09:45:51.608Z
235113128,51.96253333333333,1.2884950000000002,0,0,2025-04-10T09:45:51.608Z
247142290,38.08794666666667,12.398405,0,0,2025-04-10T09:45:51.612Z
636021059,32.82931833333333,-79.938555,0,0,2025-04-10T09:45:51.616Z
267940000,48.14011,17.134026666666667,0,0,2025-04-10T09:45:51.616Z
267210280,48.13469333333333,17.147491666666667,0,0,2025-04-10T09:45:51.617Z
232035764,53.583380000000005,-0.06979833333333334,0,0,2025-04-10T09:45:51.618Z
207261426,47.96668666666667,17.410708333333332,0,0,2025-04-10T09:45:51.620Z
244780821,52.37698,4.922546666666666,0,0,2025-04-10T09:45:51.622Z
244770697,51.54103166666666,3.667456666666667,0,0,2025-04-10T09:45:51.629Z
230992250,60.117115,20.29503,0,0,2025-04-10T09:45:51.633Z
367108790,30.423058333333334,-88.51408833333333,0,0,2025-04-10T09:45:51.644Z
367750940,25.798895,-80.24904833333333,0,0,2025-04-10T09:45:51.644Z
247485900,38.223256666666664,15.632463333333334,0,0,2025-04-10T09:45:51.653Z
367769180,36.87386333333333,-76.34824499999999,0,0,2025-04-10T09:45:51.657Z
277540000,55.701611666666665,21.125058333333335,0,0,2025-04-10T09:45:51.660Z
218028060,53.54320666666667,9.918711666666667,0,0,2025-04-10T09:45:51.662Z
211818270,54.308078333333334,9.711413333333333,0,0,2025-04-10T09:45:51.671Z
244750947,51.32376,3.825055,0,0,2025-04-10T09:45:51.672Z
232059246,52.47607,1.759895,0,0,2025-04-10T09:45:51.673Z
245159000,51.869548333333334,3.1133366666666666,0,0,2025-04-10T09:45:51.675Z
352002392,11.9985,-50.02099666666666,0,0,2025-04-10T09:45:51.697Z
211619970,53.545116666666665,9.96782,0,0,2025-04-10T09:45:51.699Z
211431820,53.198411666666665,8.513423333333334,0,0,2025-04-10T09:45:51.723Z
226010970,48.94934333333333,3.10441,0,0,2025-04-10T09:45:51.724Z
368163530,39.25575166666667,-76.550135,0,0,2025-04-10T09:45:51.731Z
211627300,53.284866666666666,6.778456666666667,0,0,2025-04-10T09:45:51.732Z
244030497,51.814409999999995,5.009200000000001,0,0,2025-04-10T09:45:51.750Z
339952000,25.817583333333335,-80.12353166666666,0,0,2025-04-10T09:45:51.765Z
235074703,50.80942666666667,-1.0970266666666668,0,0,2025-04-10T09:45:51.767Z
244770393,53.91445,6.96745,0,0,2025-04-10T09:45:51.772Z
